Home,Away,Rodada,prob_PD_gol,prob_PD_gol_Fina_RB,prob_PD_gol_FinC_RB,prob_PD_gol_Fina,prob_PD_gol_FinC,prob_binpo_log,prob_DC,prob_PB,prob_PD_gol_placar,prob_PD_gol_Fina_RB_placar,prob_PD_gol_FinC_RB_placar,prob_PD_gol_Fina_placar,prob_PD_gol_FinC_placar,prob_binpo_log_placar,prob_DC_placar,prob_PB_placar,prob_binpo_p,prob_binpo_p_placar,Defi_PB,RPS_PB,Acerto_PB,Defi_PD_gol,RPS_PD_gol,Acerto_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Acerto_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Acerto_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Acerto_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Acerto_PD_gol_Fina,Defi_DC,RPS_DC,Acerto_DC,Defi_binpo_log,RPS_binpo_log,Acerto_binpo_log,Defi_binpo_p,RPS_binpo_p,Acerto_binpo_p,Defi_palp_br,RPS_palp_br,Acertos_palp_br_binpo_p
Corinthians,Atlético-MG,20,[0.5821 0.2674 0.1504],[0.5913 0.2665 0.1421],[0.5801 0.2686 0.1511],[0.594  0.2647 0.1412],[0.5819 0.2674 0.1506],[0.5888 0.2198 0.1905],[0.4882 0.2323 0.2793],[0.5636 0.3001 0.1362],0.18868604922832016,0.19439834670752365,0.1893906391150404,0.1934253069287893,0.18863171886952146,0.1054819272420957,0.1364111010522227,0.2016,[0.5234 0.2643 0.2122],0.14627291258980413,0.29905540999999997,0.10451133000000001,1,0.2687633300000001,0.09864533500000003,1,0.2712931800000001,0.09960387000000002,1,0.25825034999999996,0.09362826999999996,1,0.26899073000000007,0.09875905500000003,1,0.25483953,0.09240085,1,0.39391102,0.170029765,1,0.25368773,0.102860105,1,0.34203089000000003,0.13610943000000003,1,0.36215801999999997,0.147408885,1
Palmeiras,Criciúma,20,[0.5622 0.3019 0.1359],[0.5735 0.2972 0.1292],[0.5643 0.3009 0.1347],[0.5704 0.2986 0.1309],[0.5621 0.3019 0.1359],[0.5968 0.279  0.1241],[0.4698 0.289  0.2412],[0.5336 0.349  0.1174],0.22713484226362177,0.22913662239188728,0.22739054355102511,0.22876698752555572,0.22715355668686324,0.21990569407492405,0.20015877031117232,0.2353,[0.462  0.3688 0.1692],0.23602065334346115,0.35311272,0.11565586000000001,1,0.30128126,0.10506882499999998,1,0.29851939,0.10400276999999998,1,0.28692272999999996,0.09931037499999999,1,0.30136883,0.10512620999999997,1,0.29085292999999995,0.100858585,1,0.42281048,0.16964474000000002,1,0.25581205,0.088997945,1,0.45408608000000006,0.15903632,1,0.36215801999999997,0.147408885,1
Grêmio,Atlético-PR,20,[0.5649 0.2629 0.172 ],[0.5881 0.252  0.1597],[0.5675 0.2615 0.1708],[0.5846 0.2539 0.1613],[0.5646 0.2631 0.1722],[0.4557 0.2503 0.2938],[0.4975 0.2273 0.275 ],[0.5999 0.2723 0.1276],0.16886122006325802,0.16603062677366492,0.16820239050855557,0.16695758109931833,0.16891326550552155,0.09869951764346661,0.13167112722474875,0.1888,[0.3858 0.2611 0.3529],0.09647135960615055,0.25050906,0.08820644500000002,1,0.28801242000000005,0.10948244500000003,1,0.28461114000000004,0.10814864500000002,1,0.25866970000000006,0.09761483000000003,1,0.28844761,0.10963023000000001,1,0.26304005999999996,0.099319725,1,0.3797965399999999,0.16412066499999994,1,0.44523102,0.191349265,1,0.5699532600000001,0.25096064500000004,1,0.36215801999999997,0.147408885,1
Figueirense,Fluminense,20,[0.2873 0.2544 0.4581],[0.286  0.254  0.4598],[0.2849 0.2539 0.461 ],[0.2888 0.2546 0.4563],[0.2874 0.2544 0.458 ],[0.1799 0.2198 0.5995],[0.279  0.1905 0.529 ],[0.402  0.2491 0.3485],0.12088862862737731,0.1207102425293621,0.1206535192560106,0.12101220187647063,0.12088551756197619,0.10445098498422614,0.07818853840366963,0.1101,[0.1716 0.2564 0.5719],0.11529118745614109,0.8469070599999999,0.14166768500000002,0,0.84831626,0.14629010999999995,0,0.85035422,0.146936745,0,0.84972804,0.14669801999999996,0,0.8482821200000001,0.14627301999999998,0,0.84723629,0.145944545,0,1.01297225,0.17963675,0,1.0004763,0.19636237000000004,0,0.9094571300000001,0.17831528499999996,0,0.8609580199999999,0.156308885,0
Cruzeiro,Bahia,20,[0.7998 0.1461 0.0515],[0.8117 0.1388 0.0466],[0.7998 0.1462 0.0514],[0.8116 0.1387 0.0467],[0.7998 0.1462 0.0515],[0.8066 0.1338 0.0552],[0.7334 0.1614 0.1037],[0.8181 0.1501 0.0298],0.0724960129690054,0.07002084330212477,0.07244941652455673,0.07009642764288739,0.07251478374481897,0.07807656638278561,0.08903005280745013,0.0632,[0.8121 0.1358 0.0487],0.07265028358910795,0.056505659999999985,0.017051424999999988,1,0.06407750000000002,0.02150680500000001,1,0.06409644000000002,0.021501400000000014,1,0.056893890000000016,0.018957775000000007,1,0.06410673000000001,0.021501145000000013,1,0.056913139999999994,0.018986825000000006,1,0.10787920999999996,0.041072424999999975,1,0.05835304000000001,0.020487540000000005,1,0.05611973999999999,0.01901618999999999,1,0.36215801999999997,0.147408885,1
Sport,Santos,20,[0.2953 0.3418 0.3629],[0.3003 0.3438 0.3559],[0.2964 0.3417 0.3619],[0.2987 0.3438 0.3574],[0.2953 0.3417 0.363 ],[0.2594 0.3171 0.4235],[0.2236 0.2358 0.5405],[0.2731 0.3553 0.3716],0.013301529208684925,0.01341940052471229,0.013381427324177514,0.013304607203827326,0.013298975094822163,0.013169049375648693,0.013598296512722216,0.0144,[0.3219 0.3328 0.3452],0.016450270518714616,0.7927082599999999,0.333235085,0,0.74512574,0.31414925,0,0.7427834600000001,0.313012285,0,0.7344433399999999,0.30812245,0,0.74512998,0.314185545,0,0.7377548899999999,0.309813975,0,0.9505388499999999,0.447522665,0,0.8283930199999999,0.36392030499999994,0,0.6897384899999999,0.28952585499999994,0,0.36215801999999997,0.147408885,1
Coritiba,Chapecoense,20,[0.4413 0.3776 0.1811],[0.4558 0.3721 0.1721],[0.4408 0.3776 0.1816],[0.4563 0.372  0.1716],[0.4412 0.3776 0.1812],[0.4588 0.2999 0.2412],[0.3975 0.3149 0.2875],[0.3954 0.4467 0.1579],0.030378937149946772,0.03292328772390784,0.03031646036679846,0.03299448472724568,0.03036679404969306,0.03979940640844642,0.02487076380542833,0.0176,[0.4107 0.3685 0.2208],0.02699592907606453,0.59001446,0.19523678500000002,0,0.48752466,0.17247145,1,0.4882649599999999,0.17284159999999996,1,0.46423045999999996,0.162886025,1,0.48767263999999994,0.17254543999999997,1,0.4634402500000001,0.16254529500000003,1,0.54482451,0.22286001,1,0.44101489000000005,0.17556157000000003,1,0.53181938,0.19801356499999997,1,0.36215801999999997,0.147408885,1
Botafogo,São Paulo,20,[0.3951 0.2746 0.3302],[0.3956 0.2736 0.3307],[0.3962 0.2748 0.3289],[0.394  0.2733 0.3326],[0.3952 0.2746 0.3301],[0.3562 0.22   0.4228],[0.3526 0.2344 0.4129],[0.4209 0.308  0.271 ],0.0051419427577189345,0.005257382802926945,0.005081529766214498,0.005343894558005725,0.005137831746445761,0.02053657381006964,0.007879718228074227,0.0035,[0.2035 0.2319 0.5641],0.012635489792649689,0.8034618099999999,0.354226015,0,0.6801412099999999,0.302301055,0,0.6828646899999999,0.30360772500000005,0,0.67931881,0.302164005,0,0.68035421,0.302407545,0,0.67535165,0.30026265,0,0.52395653,0.234447885,1,0.5084382799999999,0.22944294,1,0.28519867,0.11549283,1,0.91675802,0.424708885,0
Vitória,Internacional,20,[0.2711 0.2833 0.4455],[0.2626 0.2806 0.4567],[0.2695 0.2825 0.4479],[0.2647 0.2818 0.4534],[0.2712 0.2833 0.4454],[0.1574 0.2286 0.6135],[0.1964 0.1951 0.6077],[0.235  0.3029 0.462 ],0.0474818653174725,0.045471366768137414,0.04706986688175232,0.0460176572779699,0.04750469877660903,0.023144746861696805,0.02614614964293771,0.0366,[0.1941 0.2954 0.5105],0.03174390937095796,0.89041741,0.39938071,0,0.81002435,0.36492729,0,0.8140509099999998,0.36716712999999995,0,0.8310700100000001,0.3762125050000001,0,0.80978949,0.36480985000000005,0,0.8256488900000001,0.3731641750000001,0,1.05313626,0.508022925,0,1.1386149700000001,0.543485505,0,0.99734622,0.45504253,0,0.36215801999999997,0.147408885,1
Goiás,Flamengo,20,[0.4502 0.3362 0.2136],[0.4511 0.3359 0.213 ],[0.4476 0.3374 0.215 ],[0.4548 0.3342 0.211 ],[0.4501 0.3363 0.2136],[0.5355 0.2721 0.1922],[0.3757 0.265  0.3593],[0.4058 0.3586 0.2356],0.1998696259271693,0.19995607175223795,0.19971411506694248,0.2001828332111208,0.19988267134342413,0.16527147968323286,0.14538829891803715,0.1772,[0.3621 0.3252 0.3127],0.15413935747619875,0.5371749600000001,0.20429050000000004,1,0.4609354400000001,0.17395250000000004,1,0.46520952,0.17568538,1,0.4594890199999999,0.17333010499999998,1,0.46111266,0.17400748500000002,1,0.45345367999999997,0.17088202000000002,1,0.5890719800000002,0.25942349000000003,1,0.32673949999999996,0.126389025,1,0.61045274,0.25234885,1,0.36215801999999997,0.147408885,1
